objectid,filename,format,title,location,haspolicy,description,placenametools,contactinfo,latitude,longitude
newbrunswick_moncton,,record,Moncton,New Brunswick,Yes,"Naming Policy for Streets, Trails and Civic Facilities<br>Policy Category: Community Safety Services (CSS)<br>Policy No.: POL-CSS-UP-001<br>Replaces No.: Policy 1308<br>Approving Authority:<br>Moncton City Council<br>Effective Date:<br>December 19, 2005<br>Last Reviewed Date:<br>December 3, 2018<br>Owner Department:<br>Urban Planning (UP) 1. Purpose<br>The purpose of this policy is to:<br>1. Establish City Council’s priorities with respect to the naming of streets, trails and civic facilities within the City of Moncton;<br>2. Define the roles and responsibilities of City Council, Committees of Council and City departments and the Staff Name Bank Technical Group in the naming and renaming of streets, trails and civic facilities;<br>3. Establish the criteria that will be used in the naming of streets, trails and civic facilities; and to<br>4. Outline the procedures that are to be followed when naming streets, trails or civic facilities.<br>2. Definitions<br>Arterial street means a high-capacity urban road. The primary function of an arterial road is to deliver traffic from collector roads to freeways, and between urban centres at the highest level of service possible. Many arterial roads have limited-access, or feature restrictions on private access.(e.g. Mountain Road)<br>Civic facility means any land, building or structure owned and/or managed by the City of Moncton, and includes but is not limited to municipal buildings, parking lots, arenas, sports fields, neighbourhood parks, fountains, squares, gardens, structures and playgrounds. However, for the purposes of this policy, specifically excludes trails.<br>Commercial name means the name of a private (for profit) business or organization and does not include the name of a business owner/operator.<br>Collector street means a low-to-moderate-capacity road which serves to move traffic from local streets to arterial streets. Unlike arterials, collector streets are designed to provide access to<br>Naming Policy for Streets, Trails and Civic Facilities Policy No.: POL-CSS-UP-001<br>Page 2 of 10<br>residential properties (e.g. Evergreen Drive.<br>Local minor street means a residential street which forms a cul-de-sac or a crescent used primarily for access to abutting properties.<br>Moncton Name Bank or “The Bank” means a database of Council-approved names that is maintained on an ongoing basis and serves as the main source of potential names for streets, trails and civic facilities in Moncton.<br>Naming means either the naming or renaming a street, trail or a civic facility.<br>Naming Policy means the City of Moncton Naming Policy for Streets, Trails and Civic Facilities.<br>Private street means streets that are not owned by the City of Moncton.<br>Street means any street, road, lane, thoroughfare, footpath, bridge or place open or used by the public.<br>Trails means a narrow thoroughfare similar to a lane or path intended for pedestrian or active transportation uses.<br>3. Policy Statements<br>1. The primary consideration for the selection of names for streets, trails and civic facilities is to ensure emergency services and individuals can locate addresses and facilities easily and without confusion.<br>2. The naming of public streets, trails and civic facilities shall also provide the opportunity to recognize, reflect and commemorate people, events, places, wildlife, flora, fauna and natural features that are associated with the City of Moncton, New Brunswick or Canada.<br>3. It is important to the City of Moncton to support and celebrate the two official languages and linguistic communities, promote a value and source of pride that they represent through their unique cultures, and foster a sense of belonging and true equality for all of its citizens. Names selected for its public streets, trails and civic facilities shall reflect and celebrate the historical, cultural, ethnic and linguistic characteristics of the community and citizens shall have an opportunity to contribute to the naming process.<br>4. Further to Policy Statement 3, it is the City’s goal to approve the use of names such that the following ratios regarding languages are achieved on a yearly basis:<br><br>• 45% English;<br><br>• 45% French; and<br><br>• 10% other languages.<br>Naming Policy for Streets, Trails and Civic Facilities Policy No.: POL-CSS-UP-001<br>Page 3 of 10<br>5. The City will continue to rely upon the name bank to serve as a primary source of potential names for public streets, trails and civic facilities. Alternate names, not found in the Name Bank, may be considered by City Council in special circumstances, as detailed in the Naming Policy.<br>6. A Staff Name Bank Technical Group will be responsible for updating and maintaining the Moncton Name Bank and ensuring compliance with the Naming Policy.<br>7. All proposed names to be added or retired from the Moncton Name Bank and the proposed names of all public streets, trails and civic facilities shall be forwarded to Moncton City Council for approval.<br>8. The process and requirements for naming streets, trails and civic facilities will be clearly outlined and made available for the public and development community to access on the City’s website.<br>4. General Naming Criteria<br>1. To ensure that emergency services and individuals can locate addresses and facilities easily and without confusion:<br>a. All proposed names shall be unique. There shall be no duplication of names within the City of Moncton or with names already existing in adjoining communities that share emergency service providers (Fire and RCMP). In addition:<br>i. Names sounding very similar to existing names shall be refused (e.g. “Dayton” and “Deighton”);<br>ii. Identical names with different suffixes shall be refused (e.g. Caddy Crescent and Caddy Court);<br>iii. Identical names with different extensions shall be avoided (e.g. Meadowvale and Meadowlands);<br>iv. For emergency services operations reasons, proposed names that represent the translated version of an existing name shall be avoided (e.g. Cottage Road should be avoided when the street name Rue Chalet exists).<br>b. Prior to making any recommendations to City Council regarding proposed street and trail names, the City shall liaise with the New Brunswick 911 bureau to determine if a duplicate or similar sounding name already exists.<br>c. The City shall request that the New Brunswick 911 bureau reserve all proposed street and trail names that are approved by City Council.<br>2. Proposed names for the Name Bank which are derogatory or offensive shall not be accepted.<br>3. Commercial names shall not be included in the Name Bank. In special circumstances, City Council may consider the use of commercial names in conjunction with proposed facilities.<br>Naming Policy for Streets, Trails and Civic Facilities Policy No.: POL-CSS-UP-001<br>Page 4 of 10<br>4. To ensure that there is adequate room on street signs, names shall not exceed 20 characters, including any prefix/suffix and spaces between letters. This limitation shall not apply to the naming of trails and facilities.<br>5. All proposed names and signage shall include all applicable accents.<br>6. Names of living persons shall only be used in exceptional circumstances.<br>5. Name Bank<br>1. The Name Bank will be updated and maintained in order to provide a list of possible names that recognize and commemorate people, events, places, wildlife, flora, fauna and natural features that are associated with the City of Moncton, New Brunswick or Canada.<br>2. To be recommended for inclusion in the Bank, names shall meet the following criteria:<br>a. Proposed name must fall under at least one of the following categories:<br>i. A name to honour a noteworthy person associated with the history of the City of Moncton or who made a significant contribution to the City of Moncton.<br>ii. A name to honour Monctonians that served in the Canadian military.<br>iii. A name (person, place or thing) that has cultural and/or historical significance to Moncton, New Brunswick or Canada.<br>iv. A name that recognizes the wildlife, flora, fauna or natural features of Moncton and New Brunswick.<br>v. A name which celebrates and/or is unique to a particular location or part of the city.<br>b. Naming proposals shall be adequately researched and documented by the submitter, and shall be verified by the Staff Name Bank Technical Group.<br>c. In the case where the name proposed relates to a specific person, the Staff Name Bank Technical Group will make reasonable efforts to consult with the person’s family. If no objections are received, the name will be recommended for the Name Bank.<br>d. Proposed names must comply with criteria established in Section 4.<br>3. The names selected for the Bank shall be balanced to reflect the cultural, ethnic and linguistic characteristics of Moncton, with a target of achieving the linguistic ratios outlined in Policy Statement 4.<br>The name bank will be divided into various naming themes. Emphasis may be placed on enriching or adding a theme of the Bank, or adding particular types of names to the list at various times in order to recognize aspects of the community that may otherwise be underrepresented on the Name Bank list.<br>Naming Policy for Streets, Trails and Civic Facilities Policy No.: POL-CSS-UP-001<br>Page 5 of 10<br>4. The Name Bank may reserve particular names or groups of names for different geographical parts of the city and/or for specific streets, trails, and/or civic facilities in the city.<br>5. Additions to the Moncton Name Bank may be proposed by any member of the public, including citizens, citizen groups, landowners, developers, members of City Council and City staff. Proposals shall be made by completing an application form and submitting it to the Staff Name Bank Technical Group. All proposals will be reviewed by the Staff Name Bank Technical Group. (See also Section 6)<br>6. Names may be retired from the Bank at the recommendation of the Staff Name Bank Technical Group and upon approval by Moncton City Council.<br>7. The Name Bank shall be maintained by the Information Systems Department in the Corporate Geographic Information System (GIS), in accordance with the standard operation procedure included in Appendix 4.<br>8. The Urban Planning Department shall be responsible for ensuring that an up-to-date version of the Name Bank is located on the City website.<br>9. Efforts shall be made to ensure that the Moncton Name Bank includes a pool of 300 available names.<br>6. Staff Name Bank Technical Group<br>1. Upon adoption of the Naming Policy, a Staff Name Bank Technical Group shall be established, with representation from the following City departments:<br>a. Information Services (GIS)<br>b. Urban Planning<br>c. Engineering and Environmental Services<br>d. Parks & Leisure Services<br>e. Tourism and Culture (representation from both the Heritage and Cultural Units)<br>f. Corporate Communications<br>The Urban Planning Department shall be responsible for coordinating the activities of the Staff Name Bank Technical Group and shall act as the key contact person for queries related to the Name Bank.<br>The Staff Name Bank Technical Group shall have a standing monthly meeting time booked to ensure timely follow-up to requests and issues. Additional meetings may be called as required.<br>2. The Staff Name Bank Technical Group shall be responsible for administering and promoting the Moncton Name Bank. This work shall include:<br>Naming Policy for Streets, Trails and Civic Facilities Policy No.: POL-CSS-UP-001<br>Page 6 of 10<br>i. Updating the City’s website to include an overview of the Naming Policy, the process and requirements for the naming streets, trails and civic facilities, and the opportunity for the public to nominate a name to the Moncton Name Bank<br>ii. Administration of the application process for the submission of proposed names by the public,<br>iii. Review of proposed names in accordance with the criteria established in the Naming Policy,<br>iv. Forwarding of recommendations to City Council on the addition or retiring of names to the Moncton Name Bank, and<br>v. Periodic reporting to City Council on the status of the Moncton Name Bank.<br>3. Moncton City Council shall review and approve the initial Moncton Name Bank and all amendments (addition and removal of names).<br>4. Any proposed names for streets, trails and facilities that are not found on the Moncton Name Bank list and/or any exceptions to the Naming Policy shall be forwarded to the Staff Name Bank Technical Group for review prior to a recommendation being brought forward to City Council.<br>7. Procedures and Criteria for Naming a New Street<br>1. In accordance with the Community Planning Act, the naming of streets created through subdivision shall be subject to the approval of City Council, in consultation with the City’s Planning Advisory Committee (PAC).<br>2. The names of streets shall be chosen from the Name Bank, unless otherwise authorized by City Council.<br>3. Notwithstanding item 2, a developer proposing a subdivision containing 2 or more local minor streets, may be exempted from choosing a street name from the Name Bank for not more than 50% of the local minor streets.<br>4. Developers and landowners are encouraged to nominate a preferred name or names to the Moncton Name Bank (in accordance with Section 5(5)) well in advance of making an application for subdivision. Names submitted for a particular development and accepted by City Council, if requested in writing, will be reserved for use for the development for a period of ten years.<br>5. Developers and landowners are encouraged to consider the use of a theme throughout a particular neighbourhood area. In accordance with Section 5(4), City Council may direct that proposed names be reserved for a Particular location or part of the city for future use by the developer.<br>6. Private streets shall be required to conform to the General Naming Criteria of this policy (Section 4).<br>7. All street names must adequately address the following street naming principles:<br>a. Streets running in a continuous configuration should have the same name throughout its entire<br>Naming Policy for Streets, Trails and Civic Facilities Policy No.: POL-CSS-UP-001<br>Page 7 of 10<br>length.<br>b. Streets with permanent physical barriers (e.g. a river, park, permanent barricade) shall have different names assigned to each section.<br>c. “Bulbs” or road indentations along a principal street shall have the same name.<br>d. Cul-de-sacs shall have a completely different name than the cross street.<br>e. For continuity, the names of new streets shall take into consideration future development on adjacent land.<br>f. Cardinal points (i.e. N, W, E, S,) shall only be used as an option to resolve numbering issues or to segment an existing long street or to account for eminent future development.<br>g. To ensure that street suffixes are used in a consistent manner, all proposed street name suffixes shall comply with the City of Moncton Street Suffix Classification System (Appendix 1).<br>h. Although a proposed name may be listed in the Name Bank, prior to making recommendations to City Council for the use of a proposed name for a specific street, the City shall liaise with the New Brunswick 911 bureau to determine if a duplicate or similar sounding name already exists.<br>i. Prior to the extension of a tentative plan approval, the City shall liaise with the New Brunswick 911 bureau to confirm that there are no new concerns with respect to reusing the same proposed street name.<br>j. The City shall request that the New Brunswick 911 bureau reserve all proposed names that are approved by City Council.<br>8. Names not chosen from the Name Bank must address the naming criteria established in Section 4 and 7(7).<br>8. Procedure for Renaming a Street<br>1. Street name changes shall not be considered unless there is a safety issue, as determined by the City Engineer.<br>2. When a street name change is required (and requires the selection of a new name), the City shall consult and invite affected land owners to identify a preferred new street name from the Moncton Name Bank. A new name (not already listed in the Name Bank) may also be considered. The proposed street name shall be referred to the Staff Name Bank Technical Group for comment prior to a recommendation being presented for City Council approval.<br>3. If City Council approves the renaming, a public notice will be released announcing the new name, and affected landowners and occupants will be notified.<br>4. The City’s Civic Addressing Coordinator shall give affected owners and occupants of a property 180 days’ notice in writing of any changed or re-assigned civic address unless a shorter period is required due to a public safety concern.<br>5. The Civic Addressing Coordinator shall inform 911 and Canada Post of any streets that are in the process of being renamed.<br>Naming Policy for Streets, Trails and Civic Facilities Policy No.: POL-CSS-UP-001<br>Page 8 of 10<br>6. Retired names shall not be reused by the City for a street for a period of 20 years.<br>9. Procedure for Naming New Trails and Civic Facilities<br>1. The naming of new trails and civic facilities is subject to the approval of City Council.<br>2. The following naming principles shall be applied to trails and civic facilities:<br>a. As a general rule, the names of trails and civic facilities shall be selected from the Name Bank;<br>b. Notwithstanding item a:<br>i. Parks may be named after the name of the neighbourhood or the street on which they are located.<br>ii. Alternate names (not sourced from the Bank) may be proposed for parks where such names are the outcome of a public consultation process with residents). In such cases, the proposed name and relevant background information will be reviewed by the Moncton Staff Name Bank Technical Group to ensure compliance with the criteria established in Sections 3 and 5, and a record of the decision by City Council shall be recorded in the Moncton Name Bank.<br>iii. Components of civic facilities (e.g. rooms, pools, auditoriums, gymnasiums, galleries) shall be named by City Council in accordance with the Naming policy. In selecting names, consideration will be given to names available in the Moncton Name Bank, as well as particular organizations and persons who played a significant role in the establishment of the building in question. The name used for a component of a civic facility need not be removed from the Name Bank as it could be reused for a different purpose.<br>iv. Monuments and memorials shall be named in accordance with City of Moncton Monuments and Memorial Policy for Parks & Open Spaces)<br>v. In special circumstances, where a trail or civic facility is named to commemorate a geographic feature or a place with the use of a generic descriptive, Council may use both English and French terminology as part of the official name (e.g. Valley-Vallée, Southeast-Sud-est, Riverfront-Riverain).<br>vi. Fundraising campaigns and commercial naming rights are exempted.<br>c. Although a proposed name may be listed in the Name Bank, prior to making recommendations to City Council for the use of a proposed name for a specific trail, the City shall liaise with the New Brunswick 911 bureau to determine if a duplicate or similar sounding name already exists.<br>d. Prior to the extension of a tentative plan approval, the City shall liaise with the New Brunswick 911 bureau to confirm that there are no new concerns with respect to reusing the same proposed trail name.<br>e. The City shall request that the New Brunswick 911 bureau reserve all proposed trail names that are approved by City Council.<br>Naming Policy for Streets, Trails and Civic Facilities Policy No.: POL-CSS-UP-001<br>Page 9 of 10<br>10. Procedure for Renaming Trails and Civic Facilities<br>1. The general policy is that names of existing trails and civic facilities should not be changed. Renaming of existing trails and civic facilities will only occur if City Council determines to make such a change.<br>11. Naming of Trails and Civic Facilities by the Province of New Brunswick<br>1. While it is recognized that the naming of provincial trails and facilities is fully within the jurisdiction of the Province of New Brunswick, the City shall encourage the Province to consider the use of the Moncton Name Bank when selecting names for provincial trails or facilities located within the City of Moncton.<br>12. Monitoring<br>1. The Staff Name Bank Technical Group shall provide City Council with an annual update regarding the status of the Moncton Name Bank and the status of selected names with respect to the linguistic targets outlined in Policy Statement 4. Such reports may also include recommendations for improving the effectiveness of the Naming Policy.<br>13. Administration and Contact<br>City Hall 655 Main St., Moncton, NB E1C 1E8<br>Telephone: 506.853.3550<br>Email: info.clerk@moncton.ca<br>Naming Policy for Streets, Trails and Civic Facilities Policy No.: POL-CSS-UP-001<br>Page 10 of 10<br>Appendix 1 – City of Moncton Street Suffix Classification System<br>Category Abbreviations Description English French<br>Alley/allée<br>Alley<br>allée<br>A narrow or passageway between or behind buildings.<br>Avenue/avenue<br>Ave<br>av<br>Generally characterized as a straight or curvilinear collector or through highway.<br>Boulevard/boulevard<br>Blvd<br>boul<br>A four or two lane divided street separated by a median.<br>Court/cour<br>Crt<br>cour<br>A short local street including bulbs and cul-de-sacs.<br>Crescent/croissant<br>Cres<br>crois<br>A loop street which intersects with the same street at both ends.<br>Drive/promenade<br>Dr<br>prom<br>A two lane scenic street characterized by extensive landscaping.<br>Lane/ruelle<br>Ln<br>rle<br>A narrow street between houses, walls, hedges or fences.<br>Park/allée<br>Pk<br>allée<br>A street located in a pleasant, well- landscaped area.<br>Parkway/promenade<br>Pky<br>prom<br>A four or two lane divided scenic street characterized by extensive landscaping and controlled access.<br>Path/sentier<br>Pk<br>sent<br>A short and narrow street or a pedestrian way.<br>Place/place<br>Pl<br>place<br>A short local street including bulbs and cul-de-sacs.<br>Road/chemin<br>Rd<br>ch<br>Major through street.<br>Street/rue<br>St<br>rue<br>Generally characterized as a straight collector or through street.<br>Terrace/terrace<br>Terrace<br>terr<br>A local collector street.<br>Trail/sentier<br>Tr<br>sent<br>A narrow thoroughfare similar to a lane or path intended for pedestrian or active transportation uses.<br>Way/voie<br>Way<br>voie<br>Generally characterized by curvilinear collector or through highway.<br>(Note: Articles that can be included in the French version of the suffix i.e. du, de, la, des and de l’ will follow the suffix before the proper name.)",Street and Trail Name Submission Form: https://www.moncton.ca/lets-do-business-zoning-planning-urban-planning-naming-street-trail-civic-properties/street-trail<br><br>Name Bank: https://www.moncton.ca/lets-do-business-zoning-planning-urban-planning-street-trail-name-submission-form/name-bank-list,namebank@moncton.ca,46.099479,-64.799802
newbrunswick_sackville,,record,Sackville,New Brunswick,No,N/A,N/A,N/A,46,-64.383333
princeedwardisland_annandale-littlepond-howebay,,record,Annandale-Little Pond-Howe Bay,Prince Edward Island,No,N/A,N/A,littleponders@gmail.com,46.28963,-62.41324
princeedwardisland_centralprince,,record,Central Prince,Prince Edward Island,Yes,"Changing the Name or Class of a Municipality<br>Share this page:<br>Feedback<br>What are the classes of municipalities?<br>The following classes of municipalities can be created:<br><br>City<br>Town<br>Rural Municipality<br>Municipalities that were called Communities (including former Community Improvement Committees and Villages) under previous legislation are called Rural Municipalities.<br><br>Administration, governance and service standards apply to all municipalities regardless of their size.<br><br>What are the criteria for establishing a city or town?<br>The criteria for establishing a new city is:<br><br>• Estimated population of 15,000 or greater<br>• Estimated total property assessment value of $750,000,000 or greater<br><br>The criteria for establishing a new town is:<br><br>• Estimated population of 4,000 – 14,999<br>• Estimated total property assessment value of $200,000,000 - $749,999,999<br><br>How does a municipality change its name or class?<br>A Council can submit an application to the Minister to request a name or class change.  The Municipal Name or Class Change Application is being developed.<br><br>The Minister may:<br><br>• Invite written submissions on the proposed change of name or class from the residents of the municipality<br>• Conduct one or more public meetings in the municipality to discuss the effects of the change<br>• Do any other thing the Minster considers necessary to consider the request<br><br>The Minister will consider the written submissions and comments from public meetings (where applicable) and then make a recommendation to Lieutenant Governor in Council to approve or deny the proposed change.<br><br>The Minister can recommend to Lieutenant Governor in Council that a municipality change its class if that municipality no longer meets the criteria for its class.",https://www.princeedwardisland.ca/en/information/fisheries-and-communities/changing-name-or-class-municipality,rmcentralprince@outlook.com,46.595,-63.99
princeedwardisland_alexandra,,record,Alexandra,Prince Edward Island,No,N/A,N/A,infoalexandrapei@gmail.com,46.19591,-63.019479
princeedwardisland_kinkora,,record,Kinkora,Prince Edward Island,No,N/A,N/A,comminutyofkinkora@eastlink.ca,46.322741,-63.603098
princeedwardisland_stanleybridge-hoperiver-bayview-cavendishandnorthrustico,,record,"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico",Prince Edward Island,No,N/A,N/A,resortmunicipal@eastlink.ca,46.480556,-63.392222
princeedwardisland_greenmount-montrose,,record,Greenmount-Montrose,Prince Edward Island,No,N/A,N/A,dave.pizio@pei.sympatico.ca,46.866667,-64.033333
princeedwardisland_hunterriver,,record,Hunter River,Prince Edward Island,No,N/A,N/A,admin.hunter.river@gmail.com,46.354948,-63.34898
novascotia_newglasgow,,record,New Glasgow,Nova Scotia,Yes,"POLICY<br>TOWN OF NEW GLASGOW<br>TITLE: PUBLIC PROPERTIES COMMEMORATIVE NAMING POLICY AUTHORITY: Council EFFECTIVE DATE: March 23, 2011<br>APPROVAL: POLICY NO: SUPERCEDES:<br>POLICY STATEMENT:<br>The Town of New Glasgow is committed to providing a fair, consistent and efficient process with respect to the commemorative naming requests of municipally owned streets, land structures and buildings after a person, persons, tradition, tradition bearers, historic event, topographic feature or native flora and fauna. The main objective of this policy is to ensure a focused direction for all commemoration requests.<br>This Policy does not preclude any corporate sponsorship naming opportunities that the Town of New Glasgow may wish to develop.<br>COMMEMORATIVE NAMING REQUEST PROCESS:<br><br>1. All commemorative naming requests shall be submitted to the Chief Administrative Officer for consideration by Council.<br><br>2. Any individual or group may request a commemorative name for consideration to the Council.<br><br>3. All requests are to be submitted in writing by completing a request to include the following information:<br>      <br>A) For people or persons requests:<br><br>	• A biography, and<br>		• Family or representative permission (*if none exists, community support will be required)<br><br>B) For historic events, geographic or flora and fauna:<br><br>	• Background information and description<br><br>C) For all requests, at least one of the following:<br><br>	• Articles/newspaper clippings;<br>	• List of awards/citations;<br>	• Local support letters from neighborhood groups or organizations; or<br>	• Councillor/MLA/MP support.<br><br>4. Applicants may request to have their name used for a specific asset category or they may submit a non specific request.<br><br>5. Applicants may request to have their name used in a specific area or they may submit a non specific request. Applicants may also request a specific location within the community.<br><br>6. Requests for people or persons will only be accepted after a minimum of one year from the date of death(s).<br><br>COMMEMORATIVE NAME CRITERIA:<br>To be considered for commemoration at least one of the following criteria must apply to the proposed name:<br><br>	 1. The nominated individual(s) shall have demonstrated excellence, courage or exceptional service to the citizens of the Town of New Glasgow, the Province of Nova Scotia and/or Canada;<br>	2. The nominated individual(s) shall have an extraordinary community service record;<br>	3. The nominated individual(s) shall have risked his/her life to save or protect others;<br	>4. The nominated name reflects or represents the history and/or culture of the Town of New<br>Glasgow’s culturally diverse community;<br>	5. The nominated name reflects or represents traditions and/or tradition bearers;<br><br>	6. The nominated name is historically significant to the development of the Town of New Glasgow, the Province of Nova Scotia and/or Canada;<br>	7. The nominated name recognizes the flora and fauna of the local area; or<br>	8. The nominated name recognizes geographical or topographical features of the area.<br><br>GIFTING:<br>1. An individual(s) may be recognized for a significant financial contribution to a building, park or park feature, where that contribution significantly benefits the community that the asset serves. If the individual gifting funds or land wishes to name the asset, the only criteria that shall apply is that the proposed name is not a duplicate.<br>2. All requests for naming through the gifting consideration shall be required to go through the request process.<br><br>APPROVAL OF COMMEMORATIVE NAMES LIST:<br>1. The Chief Administrative Officer shall consult with the Heritage Committee to review each commemorative name request.<br>2. A recommendation shall be prepared for Council’s consideration to approve the commemorative name request.",https://www.newglasgow.ca/council.html,Lisa.MacDonald@newglasgow.ca,45.589332,-62.64479
